bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.62,0.38,0.38
,The Fate of x1.425,stamina,light jumpstream,18,17.21,0.79,0.79
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,17.6,0.4,0.4
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.13,-0.33,0.33
,Exitium(eta),tech,stream tech,17.2,16.9,0.3,0.3
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,17.06,0.14,0.14
,Torment Payback,jack,high chordjack,17.2,17.27,-0.07,0.07
,Collapse of Ego,stamina,dense jumpstream,16.8,16.37,0.43,0.43
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.68,-0.08,0.08
,northern limit(haku) x1.1,tech,stream tech,16.4,16.39,0.01,0.01
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.77,-0.37,0.37
,Angel Dust(spz),stamina,light handstream,16.4,16.23,0.17,0.17
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.18,0.22,0.22
,Nijuu(zeta),stamina,dense handstream,16.2,15.89,0.31,0.31
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.3,-0.1,0.1
,Apocalyptic Premonition x1.05,tech,stream tech,16,15.99,0.01,0.01
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.49,-0.49,0.49
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.62,0.38,0.38
,HIBACHI,speed,high stream,16,15.99,0.01,0.01
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.91,0.09,0.09
,Double Universe x1.2,jack,mid chordjack,16,16.15,-0.15,0.15
,Infinity Heaven(180bpm),jack,high chordjack,16,16.2,-0.2,0.2
,Runengon(efv3),stamina,dense handstream,15.7,15.89,-0.19,0.19
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.69,-0.09,0.09
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.59,0.01,0.01
,Deadly force - Put an end,stamina,dense handstream,15.4,15.84,-0.44,0.44
,Finixe(zeta) x1.1,speed,low stream,15.4,15.67,-0.27,0.27
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,15.42,-0.22,0.22
,Matusa Bomber x1.3,tech,stream tech,15,15.28,-0.28,0.28
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,15.05,-0.05,0.05
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,15.18,-0.18,0.18
,Mario Point[D-Another],speed,low stream,15,15.48,-0.48,0.48
,Shuuten,speed,high stream,15,15.27,-0.27,0.27
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,15.13,-0.13,0.13
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.31,-0.31,0.31
,Nhelv(e9v3),tech,stream tech,14.8,15.28,-0.48,0.48
,Kimi to bokueno sousouka,speed,Unsigned,14.8,14.99,-0.19,0.19
,Shuu no hazama,tech,stream tech,14.7,14.84,-0.14,0.14
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.96,-0.26,0.26
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.96,-0.36,0.36
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.8,-0.2,0.2
,Amatsukami x1.15,speed,high stream,14.6,14.73,-0.13,0.13
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.61,-0.01,0.01
,Tactical Railroad(ATTang),speed,high stream,14.6,14.65,-0.05,0.05
,Hayabusa(e8v3),jack,high chordjack,14.6,14.62,-0.02,0.02
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.81,-0.21,0.21
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.74,-0.24,0.24
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.45,0.05,0.05
,Paraclete -Miracle,speed,low stream,14.5,14.17,0.33,0.33
,Alpha,tech,stream tech,14.4,14.36,0.04,0.04
,Ankoku Butoukai,tech,mix tech,14.4,14.27,0.13,0.13
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,14.51,-0.11,0.11
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.32,0.08,0.08
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,14.34,0.06,0.06
,STRONG 280(11bit),stamina,dense handstream,14.4,13.94,0.46,0.46
,Pine Nut,speed,high stream,14.4,13.94,0.46,0.46
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.07,0.33,0.33
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,14.01,-0.01,0.01
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.9,0.1,0.1
,Quadraphinix x1.5,stamina,dense handstream,14,14.37,-0.37,0.37
,Volcanic(delta),speed,high stream,14,14.37,-0.37,0.37
,STRONG 280(isxi),jack,dense chordjack,14,13.79,0.21,0.21
,Aquaris(snover) x1.3,jack,low chordjack,14,13.99,0.01,0.01
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,13.39,0.41,0.41
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.15,0.45,0.45
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,14.05,-0.45,0.45
,The Empress(delta),stamina,dense handstream,13.6,13.52,0.08,0.08
,Nopea,speed,mid stream,13.6,13.92,-0.32,0.32
,Pastel Subliminal,speed,Unsigned,13.5,13.94,-0.44,0.44
,Extraction,tech,Unsigned,13.4,12.9,0.5,0.5
,Tornado [Devastation](interliser),tech,mix tech,13.4,12.91,0.49,0.49
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.38,0.02,0.02
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,13.24,0.16,0.16
,Angel Dust(tachyon),speed,high stream,13.4,13.47,-0.07,0.07
,Defeat awaken battle ship,jack,high chordjack,13.4,13.15,0.25,0.25
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,13.22,-0.22,0.22
,Reflec Streamz(gamma),speed,low stream,13,13.29,-0.29,0.29
,Break(loved) x1.1,jack,high chordjack,13,13.07,-0.07,0.07
,Sendan Life(OpakyL),jack,dense chordjack,13,12.78,0.22,0.22
,Unsan-musho,tech,stream tech,12.8,12.9,-0.1,0.1
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.63,0.07,0.07
,Fastest Crash (gamma),tech,stream tech,12.6,12.79,-0.19,0.19
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.89,-0.29,0.29
,The Truth Never Spoken,jack,mid chordjack,12.6,12.77,-0.17,0.17
,Bring Our Ignition Back x1.1,jack,mid chordjack,12.6,12.42,0.18,0.18
,Japanese Transformation(fullerene),stamina,dense jumpstream,12.5,12.71,-0.21,0.21
,Crystal World -Fracture-,speed,Unsigned,12.5,13.1,-0.6,0.6
,IMAGE -MATERIAL- Version 0(luminal),stamina,light handstream,12.4,12.28,0.12,0.12
,Lolit Speed,stamina,dense jumpstream,12.4,11.4,1.0,1.0
,Pure Ruby,speed,Unsigned,12.4,12.34,0.06,0.06
,Odin(fullerene),speed,high stream,12.4,12.32,0.08,0.08
,Mario Point[D-Hyper],speed,low stream,12.4,11.89,0.51,0.51
,ZENITHALIZE,jack,high chordjack,12.4,12.91,-0.51,0.51
,IMAGE -MATERIAL- Version 0(fullerene),stamina,light handstream,12.3,12.41,-0.11,0.11
,YELL!(e4v2),speed,Unsigned,12.2,12.16,0.04,0.04
,Asymmetrical Grooves,tech,Unsigned,12,12.43,-0.43,0.43
,Blue Planet,tech,stream tech,12,12.35,-0.35,0.35
,Time to Say Goodbye(beta),stamina,dense jumpstream,12,11.89,0.11,0.11
,Amber Starlight(beta),speed,low stream,12,11.92,0.08,0.08
,Paradigm Shift(beta),jack,high chordjack,12,12.29,-0.29,0.29
,Edison(e3v3) x1.15,jack,mid chordjack,12,11.96,0.04,0.04
