bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.95,0.05,0.05
,The Fate of x1.425,stamina,light jumpstream,18,17.54,0.46,0.46
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,17.68,0.32,0.32
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.13,-0.33,0.33
,Exitium(eta),tech,stream tech,17.2,17.2,0.0,0.0
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,17.42,-0.22,0.22
,Torment Payback,jack,high chordjack,17.2,17.64,-0.44,0.44
,Collapse of Ego,stamina,dense jumpstream,16.8,16.42,0.38,0.38
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.73,-0.13,0.13
,northern limit(haku) x1.1,tech,stream tech,16.4,16.46,-0.06,0.06
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.85,-0.45,0.45
,Angel Dust(spz),stamina,light handstream,16.4,16.32,0.08,0.08
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.24,0.16,0.16
,Nijuu(zeta),stamina,dense handstream,16.2,15.94,0.26,0.26
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.4,-0.2,0.2
,Apocalyptic Premonition x1.05,tech,stream tech,16,16.05,-0.05,0.05
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.65,-0.65,0.65
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.6,0.4,0.4
,HIBACHI,speed,high stream,16,16.04,-0.04,0.04
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.97,0.03,0.03
,Double Universe x1.2,jack,mid chordjack,16,16.2,-0.2,0.2
,Infinity Heaven(180bpm),jack,high chordjack,16,16.25,-0.25,0.25
,Runengon(efv3),stamina,dense handstream,15.7,15.95,-0.25,0.25
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.67,-0.07,0.07
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.51,0.09,0.09
,Deadly force - Put an end,stamina,dense handstream,15.4,15.85,-0.45,0.45
,Finixe(zeta) x1.1,speed,low stream,15.4,15.75,-0.35,0.35
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,15.33,-0.13,0.13
,Matusa Bomber x1.3,tech,stream tech,15,15.2,-0.2,0.2
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,14.95,0.05,0.05
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,15.07,-0.07,0.07
,Mario Point[D-Another],speed,low stream,15,15.43,-0.43,0.43
,Shuuten,speed,high stream,15,15.11,-0.11,0.11
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,15.03,-0.03,0.03
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.21,-0.21,0.21
,Nhelv(e9v3),tech,stream tech,14.8,15.18,-0.38,0.38
,Kimi to bokueno sousouka,speed,Unsigned,14.8,14.84,-0.04,0.04
,Shuu no hazama,tech,stream tech,14.7,14.71,-0.01,0.01
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.86,-0.16,0.16
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.86,-0.26,0.26
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.73,-0.13,0.13
,Amatsukami x1.15,speed,high stream,14.6,14.67,-0.07,0.07
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.56,0.04,0.04
,Tactical Railroad(ATTang),speed,high stream,14.6,14.63,-0.03,0.03
,Hayabusa(e8v3),jack,high chordjack,14.6,14.6,0.0,0.0
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.7,-0.1,0.1
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.68,-0.18,0.18
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.36,0.14,0.14
,Paraclete -Miracle,speed,low stream,14.5,14.15,0.35,0.35
,Alpha,tech,stream tech,14.4,14.35,0.05,0.05
,Ankoku Butoukai,tech,mix tech,14.4,14.27,0.13,0.13
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,14.51,-0.11,0.11
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.29,0.11,0.11
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,14.34,0.06,0.06
,STRONG 280(11bit),stamina,dense handstream,14.4,13.94,0.46,0.46
,Pine Nut,speed,high stream,14.4,13.94,0.46,0.46
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.07,0.33,0.33
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,14.01,-0.01,0.01
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.9,0.1,0.1
,Quadraphinix x1.5,stamina,dense handstream,14,14.34,-0.34,0.34
,Volcanic(delta),speed,high stream,14,14.18,-0.18,0.18
,STRONG 280(isxi),jack,dense chordjack,14,13.79,0.21,0.21
,Aquaris(snover) x1.3,jack,low chordjack,14,13.99,0.01,0.01
